Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version booster,Booster landing,Date,Time
99,"VAFB,SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg (2,628 lb)",LEO,NASA/NOAA/ESA/EUMETSAT,Success,F9 B5B1063.1,Success(ground pad),21 November 202017:17:08[587],
100,"CCAFS,SLC-40",Starlink15 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺B1049.7[590],Success(drone ship),25 November 202002:13[589],
101,"KSC,LC-39A",SpaceX CRS-21(Dragon C208.1),"2,972 kg (6,552 lb)",LEO(ISS),NASA(CRS),Success,F9 B5 ♺B1058.4[592],Success(drone ship),6 December 202016:17:08[591],
102,"CCSFS,SLC-40[597]",SXM-7,"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,F9 B5 ♺B1051.7,Success(drone ship),13 December 202017:30:00[596],
103,"KSC,LC-39A",NROL-108,Classified,LEO,NRO,Success,F9 B5 ♺B1059.5,Success(ground pad),19 December 202014:00:00[602],
104,"CCSFS,SLC-40",Türksat 5A[605],"3,500 kg (7,700 lb)",GTO,Türksat,Success,F9 B5♺B1060.4,Success(drone ship),8 January 202102:15[604],
105,"KSC,LC-39A",Starlink16 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5♺B1051.8[609],Success(drone ship),20 January 202113:02[608],
106,"CCSFS,SLC-40",Transporter-1(143 smallsat rideshare),"~5,000 kg (11,000 lb)",SSO,Various,Success,F9 B5♺B1058.5[613],Success(drone ship),24 January 202115:00[612],
107,"CCSFS,SLC-40",Starlink18 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺B1060.5[624],Success(drone ship),4 February 202106:19[623],
108,"CCSFS,SLC-40",Starlink19 v1.0 (60 satellites)[627],"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺B1059.6,Failure(drone ship),16 February 202103:59:37[626],
109,"KSC,LC-39A",Starlink17 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺B1049.8[634],Success(drone ship),4 March 202108:24[633],
110,"CCSFS,SLC-40",Starlink20 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺B1058.6[638],Success(drone ship),11 March 202108:13:29[637],
111,"KSC,LC-39A",Starlink21 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺B1051.9,Success(drone ship),14 March 202110:01[640],
112,"CCSFS,SLC-40",Starlink22 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5♺B1060.6[643],Success(drone ship),24 March 202108:28[642],
113,"CCSFS,SLC-40",Starlink23 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺B1058.7,Success(drone ship),7 April 202116:34,
114,"KSC,LC-39A",Crew-2(Crew Dragon C206.2Endeavour♺),"~13,000 kg (29,000 lb)[648]",LEO(ISS),NASA(CTS)[497],Success,F9 B5♺B1061.2[647],Success(drone ship),23 April 20219:49[646],
115,"CCSFS,SLC-40",Starlink24 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5♺B1060.7[652],Success(drone ship),29 April 202103:44[651],
116,"KSC,LC-39A",Starlink25 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5♺B1049.9[655],Success(drone ship),4 May 202119:01[654],
117,"CCSFS,SLC-40",Starlink27 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5♺B1051.10[657],Success(drone ship),9 May 202106:42[656],
118,"KSC,LC-39A[661]",Starlink26 v1.0 (52 Satellites)Capella-6 &Tyvak-0130[662],"~14,000 kg (31,000 lb)",LEO,SpaceXCapella SpaceandTyvak,Success,F9 B5♺B1058.8[660],Success(drone ship),15 May 202122:56[659],
119,"CCSFS,SLC-40[665]",Starlink28 v1.0 (60 Satellites)[665],"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5♺B1063.2[665],Success(drone ship),26 May 202118:59[664],
120,"KSC,LC-39A",SpaceX CRS-22(Dragon C209.1),"3,328 kg (7,337 lb)",LEO(ISS),NASA(CRS),Success,F9 B5B1067.1[668],Success(drone ship),3 June 202117:29[667],
121,"CCSFS,SLC-40",SXM-8[674],"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,F9 B5♺B1061.3,Success(drone ship),6 June 202104:26[673],
